Theme,Scene,Phase,Filename,Prompt
"adventure","1","opening","adventure-scene-01-opening.jpg","children's book scene, opening moment, curious young explorer with a small backpack arrives at a magical forest trail, gentle curiosity, readable focal composition, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","2","invitation","adventure-scene-02-invitation.jpg","children's book scene, a friendly fox companion presents a small quest to curious young explorer with a small backpack, warm expressions, story setup, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism, cozy night lighting. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","3","journey","adventure-scene-03-journey.jpg","children's book scene, first steps into the journey, path details and small magical clues, hopeful movement, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","4","choice","adventure-scene-04-choice.jpg","children's book scene, clear decision moment with two or three safe path options, visual branching, curious pause, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","5","mid-adventure","adventure-scene-05-mid-adventure.jpg","children's book scene, exploration in progress, curious young explorer with a small backpack with a friendly fox companion, helpful interaction, emotional warmth, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","6","climax","adventure-scene-06-climax.jpg","children's book scene, gentle emotional peak, challenge resolved through kindness and courage, focused lighting, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","7","resolution","adventure-scene-07-resolution.jpg","children's book scene, peaceful return, calm smiles, world feels safer and brighter, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism, lullaby mood. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"adventure","8","bedtime-ending","adventure-scene-08-bedtime-ending.jpg","children's book scene, bedtime closure, stars and moon, comforting final frame, sleepy calm atmosphere, winding path, glowing horizon, brave but gentle momentum, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: bold gouache brush strokes, rich matte color blocks, confident silhouettes, clean edge control. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"friendship","1","opening","friendship-scene-01-opening.jpg","children's book scene, opening moment, a kind young girl with braided hair arrives at a sunlit meadow near a gentle stream, gentle curiosity, readable focal composition, warm lantern lights, shared smiles, cozy meadow togetherness, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism. Technique: watercolor wash edges, airy blends, soft dreamy transitions, gentle pigment bloom. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
"friendship","2","invitation","friendship-scene-02-invitation.jpg","children's book scene, a shy bunny friend presents a small quest to a kind young girl with braided hair, warm expressions, story setup, warm lantern lights, shared smiles, cozy meadow togetherness, children's book illustration, hand-painted digital art, soft painterly shapes, clean composition, bedtime-friendly mood, whimsical but calm, no photorealism, cozy night lighting. Technique: watercolor wash edges, airy blends, soft dreamy transitions, gentle pigment bloom. same main character design as previous scene, same costume palette, same world art direction, same brush language, no style drift, no text, no logo, vertical 3:4. Negative: no photorealism, no realistic camera lens, no real photo texture, no harsh shadows, no horror, no violence, no text watermark, no logo"
